Bin_center_value,Bin_counts
0.217871686,1
0.218015045,1
0.218158405,0
0.218301764,0
0.218445124,0
0.218588483,0
0.218731842,0
0.218875202,0
0.219018561,0
0.21916192,0
0.21930528,0
0.219448639,0
0.219591999,0
0.219735358,0
0.219878717,0
0.220022077,0
0.220165436,0
0.220308796,0
0.220452155,1
0.220595514,1
0.220738874,1
0.220882233,0
0.221025592,0
0.221168952,0
0.221312311,0
0.221455671,0
0.22159903,0
0.221742389,0
0.221885749,0
0.222029108,0
0.222172468,0
0.222315827,0
0.222459186,1
0.222602546,0
0.222745905,1
0.222889264,0
0.223032624,1
0.223175983,1
0.223319343,0
0.223462702,0
0.223606061,0
0.223749421,0
0.22389278,0
0.22403614,0
0.224179499,2
0.224322858,0
0.224466218,0
0.224609577,0
0.224752936,2
0.224896296,0
0.225039655,2
0.225183015,3
0.225326374,0
0.225469733,0
0.225613093,0
0.225756452,2
0.225899812,0
0.226043171,0
0.22618653,0
0.22632989,1
0.226473249,0
0.226616609,1
0.226759968,0
0.226903327,0
0.227046687,1
0.227190046,2
0.227333405,1
0.227476765,0
0.227620124,1
0.227763484,0
0.227906843,0
0.228050202,2
0.228193562,1
0.228336921,2
0.228480281,0
0.22862364,5
0.228766999,2
0.228910359,0
0.229053718,1
0.229197077,0
0.229340437,1
0.229483796,0
0.229627156,3
0.229770515,1
0.229913874,0
0.230057234,1
0.230200593,6
0.230343953,3
0.230487312,0
0.230630671,5
0.230774031,4
0.23091739,0
0.231060749,2
0.231204109,0
0.231347468,3
0.231490828,0
0.231634187,5
0.231777546,2
0.231920906,0
0.232064265,3
0.232207625,4
0.232350984,3
0.232494343,0
0.232637703,7
0.232781062,1
0.232924422,0
0.233067781,5
0.23321114,4
0.2333545,7
0.233497859,0
0.233641218,4
0.233784578,4
0.233927937,0
0.234071297,1
0.234214656,8
0.234358015,4
0.234501375,0
0.234644734,4
0.234788094,8
0.234931453,3
0.235074812,0
0.235218172,8
0.235361531,7
0.23550489,0
0.23564825,1
0.235791609,5
0.235934969,6
0.236078328,0
0.236221687,1
0.236365047,9
0.236508406,0
0.236651766,2
0.236795125,4
0.236938484,1
0.237081844,0
0.237225203,2
0.237368562,2
0.237511922,0
0.237655281,4
0.237798641,4
0.237942,11
0.238085359,0
0.238228719,8
0.238372078,3
0.238515438,0
0.238658797,2
0.238802156,15
0.238945516,5
0.239088875,0
0.239232234,10
0.239375594,2
0.239518953,0
0.239662313,11
0.239805672,12
0.239949031,4
0.240092391,0
0.24023575,9
0.24037911,10
0.240522469,0
0.240665828,9
0.240809188,12
0.240952547,6
0.241095907,0
0.241239266,7
0.241382625,9
0.241525985,0
0.241669344,11
0.241812703,3
0.241956063,5
0.242099422,0
0.242242782,5
0.242386141,12
0.2425295,9
0.24267286,0
0.242816219,4
0.242959579,9
0.243102938,0
0.243246297,9
0.243389657,8
0.243533016,10
0.243676375,0
0.243819735,13
0.243963094,1
0.244106454,0
0.244249813,4
0.244393172,9
0.244536532,6
0.244679891,0
0.244823251,16
0.24496661,3
0.245109969,0
0.245253329,10
0.245396688,6
0.245540047,4
0.245683407,0
0.245826766,9
0.245970126,6
0.246113485,0
0.246256844,5
0.246400204,5
0.246543563,2
0.246686923,0
0.246830282,10
0.246973641,13
0.247117001,0
0.24726036,4
0.24740372,5
0.247547079,7
0.247690438,0
0.247833798,2
0.247977157,14
0.248120516,0
0.248263876,9
0.248407235,8
0.248550595,11
0.248693954,0
0.248837313,1
0.248980673,4
0.249124032,0
0.249267392,6
0.249410751,5
0.24955411,12
0.24969747,0
0.249840829,9
0.249984188,13
0.250127548,0
0.250270907,11
0.250414267,5
0.250557626,0
0.250700985,0
0.250844345,5
0.250987704,7
0.251131064,12
0.251274423,0
0.251417782,7
0.251561142,0
0.251704501,0
0.25184786,6
0.25199122,2
0.252134579,9
0.252277939,0
0.252421298,10
0.252564657,8
0.252708017,0
0.252851376,0
0.252994736,9
0.253138095,13
0.253281454,0
0.253424814,12
0.253568173,8
0.253711532,0
0.253854892,0
0.253998251,10
0.254141611,11
0.25428497,0
0.254428329,4
0.254571689,7
0.254715048,0
0.254858408,8
0.255001767,0
0.255145126,7
0.255288486,0
0.255431845,5
0.255575205,8
0.255718564,0
0.255861923,3
0.256005283,0
0.256148642,5
0.256292001,0
0.256435361,7
0.25657872,7
0.25672208,0
0.256865439,4
0.257008798,6
0.257152158,0
0.257295517,0
0.257438877,7
0.257582236,8
0.257725595,0
0.257868955,5
0.258012314,5
0.258155673,0
0.258299033,0
0.258442392,8
0.258585752,6
0.258729111,4
0.25887247,0
0.25901583,4
0.259159189,4
0.259302549,0
0.259445908,0
0.259589267,4
0.259732627,6
0.259875986,0
0.260019345,7
0.260162705,11
0.260306064,0
0.260449424,2
0.260592783,0
0.260736142,2
0.260879502,0
0.261022861,8
0.261166221,9
0.26130958,0
0.261452939,8
0.261596299,0
0.261739658,4
0.261883018,0
0.262026377,3
0.262169736,5
0.262313096,0
0.262456455,4
0.262599814,4
0.262743174,0
0.262886533,0
0.263029893,4
0.263173252,3
0.263316611,0
0.263459971,3
0.26360333,3
0.26374669,0
0.263890049,0
0.264033408,4
0.264176768,8
0.264320127,0
0.264463486,6
0.264606846,1
0.264750205,8
0.264893565,0
0.265036924,0
0.265180283,2
0.265323643,0
0.265467002,3
0.265610362,4
0.265753721,2
0.26589708,0
0.26604044,0
0.266183799,5
0.266327158,0
0.266470518,1
0.266613877,7
0.266757237,7
0.266900596,0
0.267043955,2
0.267187315,0
0.267330674,3
0.267474034,0
0.267617393,2
0.267760752,5
0.267904112,0
0.268047471,2
0.26819083,0
0.26833419,0
0.268477549,0
0.268620909,0
0.268764268,2
0.268907627,0
0.269050987,3
0.269194346,2
0.269337706,0
0.269481065,0
0.269624424,4
0.269767784,6
0.269911143,0
0.270054503,1
0.270197862,4
0.270341221,0
0.270484581,0
0.27062794,1
0.270771299,2
0.270914659,0
0.271058018,5
0.271201378,0
0.271344737,2
0.271488096,0
0.271631456,0
0.271774815,3
0.271918175,0
0.272061534,7
0.272204893,1
0.272348253,1
0.272491612,0
0.272634971,0
0.272778331,0
0.27292169,0
0.27306505,1
0.273208409,1
0.273351768,0
0.273495128,0
0.273638487,1
0.273781847,0
0.273925206,0
0.274068565,1
0.274211925,2
0.274355284,2
0.274498643,0
0.274642003,0
0.274785362,0
0.274928722,3
0.275072081,0
0.27521544,1
0.2753588,0
0.275502159,0
0.275645519,3
0.275788878,6
0.275932237,0
0.276075597,0
0.276218956,3
0.276362316,0
0.276505675,0
0.276649034,0
0.276792394,2
0.276935753,4
0.277079112,0
0.277222472,0
0.277365831,1
0.277509191,0
0.27765255,5
0.277795909,2
0.277939269,2
0.278082628,0
0.278225988,0
0.278369347,1
0.278512706,0
0.278656066,2
0.278799425,2
0.278942784,1
0.279086144,0
0.279229503,0
0.279372863,0
0.279516222,0
0.279659581,3
0.279802941,0
0.2799463,2
0.28008966,0
0.280233019,3
0.280376378,0
0.280519738,0
0.280663097,1
0.280806456,2
0.280949816,1
0.281093175,0
0.281236535,2
0.281379894,3
0.281523253,0
0.281666613,0
0.281809972,0
0.281953332,2
0.282096691,0
0.28224005,0
0.28238341,0
0.282526769,0
0.282670128,0
0.282813488,0
0.282956847,0
0.283100207,0
0.283243566,2
0.283386925,0
0.283530285,2
0.283673644,0
0.283817004,0
0.283960363,0
0.284103722,0
0.284247082,1
0.284390441,0
0.284533801,1
0.28467716,0
0.284820519,0
0.284963879,1
0.285107238,0
0.285250597,0
0.285393957,0
0.285537316,0
0.285680676,0
0.285824035,0
0.285967394,0
0.286110754,0
0.286254113,0
0.286397473,1
0.286540832,0
0.286684191,0
0.286827551,0
0.28697091,0
0.287114269,0
0.287257629,1
0.287400988,0
0.287544348,0
0.287687707,0
0.287831066,0
0.287974426,1
0.288117785,0
0.288261145,0
0.288404504,0
0.288547863,0
0.288691223,0
0.288834582,0
0.288977941,0
0.289121301,0
0.28926466,0
0.28940802,0
0.289551379,0
0.289694738,0
0.289838098,0
0.289981457,0
0.290124817,0
0.290268176,0
0.290411535,0
0.290554895,0
0.290698254,0
0.290841614,1
0.290984973,0
0.291128332,1
