Bin_center_value,Bin_counts
0.064587307,1
0.064961916,0
0.065336526,0
0.065711135,2
0.066085744,0
0.066460354,1
0.066834963,0
0.067209572,0
0.067584182,0
0.067958791,0
0.0683334,0
0.06870801,0
0.069082619,0
0.069457228,0
0.069831838,0
0.070206447,0
0.070581057,0
0.070955666,1
0.071330275,1
0.071704885,0
0.072079494,1
0.072454103,0
0.072828713,4
0.073203322,3
0.073577931,0
0.073952541,2
0.07432715,4
0.074701759,1
0.075076369,2
0.075450978,4
0.075825587,0
0.076200197,0
0.076574806,1
0.076949415,1
0.077324025,2
0.077698634,0
0.078073243,3
0.078447853,0
0.078822462,0
0.079197071,3
0.079571681,1
0.07994629,4
0.080320899,5
0.080695509,5
0.081070118,1
0.081444727,3
0.081819337,5
0.082193946,5
0.082568555,1
0.082943165,4
0.083317774,5
0.083692384,3
0.084066993,4
0.084441602,2
0.084816212,9
0.085190821,3
0.08556543,5
0.08594004,2
0.086314649,4
0.086689258,2
0.087063868,5
0.087438477,2
0.087813086,5
0.088187696,4
0.088562305,3
0.088936914,2
0.089311524,5
0.089686133,4
0.090060742,7
0.090435352,3
0.090809961,6
0.09118457,10
0.09155918,6
0.091933789,10
0.092308398,4
0.092683008,7
0.093057617,11
0.093432226,11
0.093806836,9
0.094181445,4
0.094556054,10
0.094930664,8
0.095305273,10
0.095679882,6
0.096054492,10
0.096429101,18
0.09680371,12
0.09717832,12
0.097552929,13
0.097927539,10
0.098302148,11
0.098676757,8
0.099051367,6
0.099425976,19
0.099800585,9
0.100175195,8
0.100549804,16
0.100924413,15
0.101299023,12
0.101673632,14
0.102048241,18
0.102422851,14
0.10279746,12
0.103172069,13
0.103546679,20
0.103921288,13
0.104295897,21
0.104670507,11
0.105045116,17
0.105419725,12
0.105794335,10
0.106168944,13
0.106543553,16
0.106918163,21
0.107292772,19
0.107667381,19
0.108041991,17
0.1084166,23
0.108791209,4
0.109165819,16
0.109540428,23
0.109915037,25
0.110289647,22
0.110664256,32
0.111038866,21
0.111413475,34
0.111788084,13
0.112162694,24
0.112537303,34
0.112911912,30
0.113286522,15
0.113661131,35
0.11403574,20
0.11441035,10
0.114784959,34
0.115159568,36
0.115534178,20
0.115908787,21
0.116283396,27
0.116658006,24
0.117032615,32
0.117407224,19
0.117781834,31
0.118156443,24
0.118531052,21
0.118905662,28
0.119280271,30
0.11965488,41
0.12002949,38
0.120404099,9
0.120778708,33
0.121153318,32
0.121527927,39
0.121902536,28
0.122277146,36
0.122651755,43
0.123026364,43
0.123400974,21
0.123775583,38
0.124150192,27
0.124524802,40
0.124899411,35
0.125274021,36
0.12564863,48
0.126023239,47
0.126397849,13
0.126772458,48
0.127147067,34
0.127521677,23
0.127896286,31
0.128270895,49
0.128645505,47
0.129020114,47
0.129394723,27
0.129769333,31
0.130143942,40
0.130518551,32
0.130893161,40
0.13126777,33
0.131642379,36
0.132016989,34
0.132391598,15
0.132766207,32
0.133140817,30
0.133515426,43
0.133890035,50
0.134264645,28
0.134639254,39
0.135013863,23
0.135388473,35
0.135763082,36
0.136137691,36
0.136512301,37
0.13688691,37
0.137261519,38
0.137636129,39
0.138010738,14
0.138385348,43
0.138759957,30
0.139134566,47
0.139509176,39
0.139883785,32
0.140258394,27
0.140633004,27
0.141007613,31
0.141382222,31
0.141756832,47
0.142131441,39
0.14250605,45
0.14288066,51
0.143255269,48
0.143629878,42
0.144004488,29
0.144379097,34
0.144753706,45
0.145128316,36
0.145502925,38
0.145877534,34
0.146252144,30
0.146626753,27
0.147001362,23
0.147375972,45
0.147750581,50
0.14812519,34
0.1484998,30
0.148874409,52
0.149249018,33
0.149623628,33
0.149998237,20
0.150372846,22
0.150747456,29
0.151122065,36
0.151496675,38
0.151871284,30
0.152245893,31
0.152620503,32
0.152995112,9
0.153369721,47
0.153744331,32
0.15411894,29
0.154493549,37
0.154868159,54
0.155242768,32
0.155617377,32
0.155991987,17
0.156366596,37
0.156741205,42
0.157115815,49
0.157490424,31
0.157865033,21
0.158239643,54
0.158614252,15
0.158988861,9
0.159363471,39
0.15973808,23
0.160112689,30
0.160487299,42
0.160861908,29
0.161236517,26
0.161611127,17
0.161985736,25
0.162360345,31
0.162734955,30
0.163109564,22
0.163484173,24
0.163858783,27
0.164233392,27
0.164608001,5
0.164982611,32
0.16535722,31
0.16573183,17
0.166106439,18
0.166481048,19
0.166855658,24
0.167230267,20
0.167604876,14
0.167979486,32
0.168354095,31
0.168728704,18
0.169103314,25
0.169477923,28
0.169852532,20
0.170227142,18
0.170601751,4
0.17097636,24
0.17135097,17
0.171725579,19
0.172100188,29
0.172474798,22
0.172849407,21
0.173224016,16
0.173598626,10
0.173973235,11
0.174347844,27
0.174722454,14
0.175097063,22
0.175471672,14
0.175846282,24
0.176220891,10
0.1765955,9
0.17697011,9
0.177344719,11
0.177719328,8
0.178093938,17
0.178468547,11
0.178843157,11
0.179217766,13
0.179592375,4
0.179966985,10
0.180341594,13
0.180716203,13
0.181090813,10
0.181465422,10
0.181840031,12
0.182214641,11
0.18258925,1
0.182963859,6
0.183338469,10
0.183713078,18
0.184087687,14
0.184462297,11
0.184836906,7
0.185211515,0
0.185586125,4
0.185960734,8
0.186335343,7
0.186709953,8
0.187084562,11
0.187459171,8
0.187833781,3
0.18820839,4
0.188582999,1
0.188957609,3
0.189332218,7
0.189706827,8
0.190081437,9
0.190456046,6
0.190830655,6
0.191205265,1
0.191579874,8
0.191954483,8
0.192329093,4
0.192703702,6
0.193078312,7
0.193452921,7
0.19382753,4
0.19420214,2
0.194576749,4
0.194951358,4
0.195325968,4
0.195700577,3
0.196075186,3
0.196449796,5
0.196824405,7
0.197199014,1
0.197573624,5
0.197948233,7
0.198322842,2
0.198697452,2
0.199072061,4
0.19944667,1
0.19982128,2
0.200195889,2
0.200570498,0
0.200945108,7
0.201319717,2
0.201694326,4
0.202068936,4
0.202443545,3
0.202818154,0
0.203192764,1
0.203567373,0
0.203941982,2
0.204316592,0
0.204691201,3
0.20506581,2
0.20544042,0
0.205815029,2
0.206189639,1
0.206564248,1
0.206938857,1
0.207313467,2
0.207688076,0
0.208062685,0
0.208437295,1
0.208811904,0
0.209186513,4
0.209561123,1
0.209935732,3
0.210310341,0
0.210684951,4
0.21105956,0
0.211434169,1
0.211808779,0
0.212183388,1
0.212557997,2
0.212932607,1
0.213307216,1
0.213681825,0
0.214056435,1
0.214431044,0
0.214805653,0
0.215180263,0
0.215554872,0
0.215929481,1
0.216304091,0
0.2166787,0
0.217053309,0
0.217427919,0
0.217802528,0
0.218177137,0
0.218551747,0
0.218926356,3
0.219300966,2
0.219675575,2
0.220050184,1
0.220424794,1
0.220799403,0
0.221174012,0
0.221548622,0
0.221923231,0
0.22229784,0
0.22267245,0
0.223047059,0
0.223421668,0
0.223796278,0
0.224170887,0
0.224545496,2
0.224920106,1
0.225294715,0
0.225669324,0
0.226043934,1
0.226418543,1
0.226793152,0
