Bin_center_value,Bin_counts,Land_type
0.217871686,1,cloud
0.218015045,1,cloud
0.218158405,0,cloud
0.218301764,0,cloud
0.218445124,0,cloud
0.218588483,0,cloud
0.218731842,0,cloud
0.218875202,0,cloud
0.219018561,0,cloud
0.21916192,0,cloud
0.21930528,0,cloud
0.219448639,0,cloud
0.219591999,0,cloud
0.219735358,0,cloud
0.219878717,0,cloud
0.220022077,0,cloud
0.220165436,0,cloud
0.220308796,0,cloud
0.220452155,1,cloud
0.220595514,1,cloud
0.220738874,1,cloud
0.220882233,0,cloud
0.221025592,0,cloud
0.221168952,0,cloud
0.221312311,0,cloud
0.221455671,0,cloud
0.22159903,0,cloud
0.221742389,0,cloud
0.221885749,0,cloud
0.222029108,0,cloud
0.222172468,0,cloud
0.222315827,0,cloud
0.222459186,1,cloud
0.222602546,0,cloud
0.222745905,1,cloud
0.222889264,0,cloud
0.223032624,1,cloud
0.223175983,1,cloud
0.223319343,0,cloud
0.223462702,0,cloud
0.223606061,0,cloud
0.223749421,0,cloud
0.22389278,0,cloud
0.22403614,0,cloud
0.224179499,2,cloud
0.224322858,0,cloud
0.224466218,0,cloud
0.224609577,0,cloud
0.224752936,2,cloud
0.224896296,0,cloud
0.225039655,2,cloud
0.225183015,3,cloud
0.225326374,0,cloud
0.225469733,0,cloud
0.225613093,0,cloud
0.225756452,2,cloud
0.225899812,0,cloud
0.226043171,0,cloud
0.22618653,0,cloud
0.22632989,1,cloud
0.226473249,0,cloud
0.226616609,1,cloud
0.226759968,0,cloud
0.226903327,0,cloud
0.227046687,1,cloud
0.227190046,2,cloud
0.227333405,1,cloud
0.227476765,0,cloud
0.227620124,1,cloud
0.227763484,0,cloud
0.227906843,0,cloud
0.228050202,2,cloud
0.228193562,1,cloud
0.228336921,2,cloud
0.228480281,0,cloud
0.22862364,5,cloud
0.228766999,2,cloud
0.228910359,0,cloud
0.229053718,1,cloud
0.229197077,0,cloud
0.229340437,1,cloud
0.229483796,0,cloud
0.229627156,3,cloud
0.229770515,1,cloud
0.229913874,0,cloud
0.230057234,1,cloud
0.230200593,6,cloud
0.230343953,3,cloud
0.230487312,0,cloud
0.230630671,5,cloud
0.230774031,4,cloud
0.23091739,0,cloud
0.231060749,2,cloud
0.231204109,0,cloud
0.231347468,3,cloud
0.231490828,0,cloud
0.231634187,5,cloud
0.231777546,2,cloud
0.231920906,0,cloud
0.232064265,3,cloud
0.232207625,4,cloud
0.232350984,3,cloud
0.232494343,0,cloud
0.232637703,7,cloud
0.232781062,1,cloud
0.232924422,0,cloud
0.233067781,5,cloud
0.23321114,4,cloud
0.2333545,7,cloud
0.233497859,0,cloud
0.233641218,4,cloud
0.233784578,4,cloud
0.233927937,0,cloud
0.234071297,1,cloud
0.234214656,8,cloud
0.234358015,4,cloud
0.234501375,0,cloud
0.234644734,4,cloud
0.234788094,8,cloud
0.234931453,3,cloud
0.235074812,0,cloud
0.235218172,8,cloud
0.235361531,7,cloud
0.23550489,0,cloud
0.23564825,1,cloud
0.235791609,5,cloud
0.235934969,6,cloud
0.236078328,0,cloud
0.236221687,1,cloud
0.236365047,9,cloud
0.236508406,0,cloud
0.236651766,2,cloud
0.236795125,4,cloud
0.236938484,1,cloud
0.237081844,0,cloud
0.237225203,2,cloud
0.237368562,2,cloud
0.237511922,0,cloud
0.237655281,4,cloud
0.237798641,4,cloud
0.237942,11,cloud
0.238085359,0,cloud
0.238228719,8,cloud
0.238372078,3,cloud
0.238515438,0,cloud
0.238658797,2,cloud
0.238802156,15,cloud
0.238945516,5,cloud
0.239088875,0,cloud
0.239232234,10,cloud
0.239375594,2,cloud
0.239518953,0,cloud
0.239662313,11,cloud
0.239805672,12,cloud
0.239949031,4,cloud
0.240092391,0,cloud
0.24023575,9,cloud
0.24037911,10,cloud
0.240522469,0,cloud
0.240665828,9,cloud
0.240809188,12,cloud
0.240952547,6,cloud
0.241095907,0,cloud
0.241239266,7,cloud
0.241382625,9,cloud
0.241525985,0,cloud
0.241669344,11,cloud
0.241812703,3,cloud
0.241956063,5,cloud
0.242099422,0,cloud
0.242242782,5,cloud
0.242386141,12,cloud
0.2425295,9,cloud
0.24267286,0,cloud
0.242816219,4,cloud
0.242959579,9,cloud
0.243102938,0,cloud
0.243246297,9,cloud
0.243389657,8,cloud
0.243533016,10,cloud
0.243676375,0,cloud
0.243819735,13,cloud
0.243963094,1,cloud
0.244106454,0,cloud
0.244249813,4,cloud
0.244393172,9,cloud
0.244536532,6,cloud
0.244679891,0,cloud
0.244823251,16,cloud
0.24496661,3,cloud
0.245109969,0,cloud
0.245253329,10,cloud
0.245396688,6,cloud
0.245540047,4,cloud
0.245683407,0,cloud
0.245826766,9,cloud
0.245970126,6,cloud
0.246113485,0,cloud
0.246256844,5,cloud
0.246400204,5,cloud
0.246543563,2,cloud
0.246686923,0,cloud
0.246830282,10,cloud
0.246973641,13,cloud
0.247117001,0,cloud
0.24726036,4,cloud
0.24740372,5,cloud
0.247547079,7,cloud
0.247690438,0,cloud
0.247833798,2,cloud
0.247977157,14,cloud
0.248120516,0,cloud
0.248263876,9,cloud
0.248407235,8,cloud
0.248550595,11,cloud
0.248693954,0,cloud
0.248837313,1,cloud
0.248980673,4,cloud
0.249124032,0,cloud
0.249267392,6,cloud
0.249410751,5,cloud
0.24955411,12,cloud
0.24969747,0,cloud
0.249840829,9,cloud
0.249984188,13,cloud
0.250127548,0,cloud
0.250270907,11,cloud
0.250414267,5,cloud
0.250557626,0,cloud
0.250700985,0,cloud
0.250844345,5,cloud
0.250987704,7,cloud
0.251131064,12,cloud
0.251274423,0,cloud
0.251417782,7,cloud
0.251561142,0,cloud
0.251704501,0,cloud
0.25184786,6,cloud
0.25199122,2,cloud
0.252134579,9,cloud
0.252277939,0,cloud
0.252421298,10,cloud
0.252564657,8,cloud
0.252708017,0,cloud
0.252851376,0,cloud
0.252994736,9,cloud
0.253138095,13,cloud
0.253281454,0,cloud
0.253424814,12,cloud
0.253568173,8,cloud
0.253711532,0,cloud
0.253854892,0,cloud
0.253998251,10,cloud
0.254141611,11,cloud
0.25428497,0,cloud
0.254428329,4,cloud
0.254571689,7,cloud
0.254715048,0,cloud
0.254858408,8,cloud
0.255001767,0,cloud
0.255145126,7,cloud
0.255288486,0,cloud
0.255431845,5,cloud
0.255575205,8,cloud
0.255718564,0,cloud
0.255861923,3,cloud
0.256005283,0,cloud
0.256148642,5,cloud
0.256292001,0,cloud
0.256435361,7,cloud
0.25657872,7,cloud
0.25672208,0,cloud
0.256865439,4,cloud
0.257008798,6,cloud
0.257152158,0,cloud
0.257295517,0,cloud
0.257438877,7,cloud
0.257582236,8,cloud
0.257725595,0,cloud
0.257868955,5,cloud
0.258012314,5,cloud
0.258155673,0,cloud
0.258299033,0,cloud
0.258442392,8,cloud
0.258585752,6,cloud
0.258729111,4,cloud
0.25887247,0,cloud
0.25901583,4,cloud
0.259159189,4,cloud
0.259302549,0,cloud
0.259445908,0,cloud
0.259589267,4,cloud
